id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
78	content	-0.5054	0.1246	1	410	2576	219	2023.9452
79	content analysis	-1.1378	0.0753	1	157	382	42	2023.9524
80	content creator	-1.2899	-0.0796	1	85	142	11	2024.2727
81	contextual information	0.8838	0.2134	2	167	332	26	2024.3462
82	contrastive learning	1.0329	0.1535	2	198	524	40	2024.125
83	control	-0.7362	-0.2116	1	163	284	27	2024.2593
84	conversation	-0.4422	0.1844	1	164	278	23	2024.3913
85	convolutional neural network	0.501	0.3348	3	228	549	43	2023.5581
86	correlation	0.6063	0.1365	2	275	821	64	2023.9688
87	country	-0.9864	0.1941	1	156	307	21	2023.8095
88	covid	-0.8773	0.2771	1	190	409	39	2023.0513
89	creation	-0.3232	-0.0721	1	188	316	29	2023.7586
90	credibility	-1.0788	-0.3001	1	127	220	17	2024.5882
91	critical role	-0.3967	0.1909	1	136	183	12	2024.5
92	cross	-0.1967	0.2843	1	96	136	16	2023.6875
93	cross sectional study	-1.3021	-0.2419	1	29	45	10	2024.4
94	current study	-0.3999	0.1657	1	120	169	13	2023.8462
95	customer	-0.5096	-0.0932	1	143	239	21	2023.7143
96	data augmentation	0.4268	0.2451	3	142	225	19	2024.1579
97	data sparsity	0.5956	-0.3369	2	83	132	11	2024.0909
98	day	-0.408	-0.1818	1	181	288	20	2023.85
99	decision	-0.2576	-0.3205	1	308	891	73	2023.8219
100	decoder	1.1569	-0.1345	2	104	200	15	2023.6
101	deep learning approach	-0.0673	0.4446	3	111	168	13	2023.7692
102	deep learning model	-0.0184	0.3739	3	207	440	37	2023.7568
103	demand	-0.6156	-0.2369	1	232	527	43	2024.3256
104	dependency	0.9029	0.1585	2	277	937	67	2024.0149
105	dependency tree	1.4338	0.3755	2	101	274	15	2023.8
106	depression	-0.5644	0.3909	1	106	159	14	2023.6429
107	dissemination	-0.5515	-0.0727	1	174	315	23	2024.4348
108	distance	1.0382	0.2374	2	161	334	23	2023.4783
109	distribution	0.6709	-0.0897	2	211	469	39	2024
110	domain expert	0.2307	-0.2748	2	82	126	12	2024.5833
111	domain knowledge	0.5013	-0.3092	2	152	288	25	2023.84
112	douyin	-0.8976	-0.2449	1	102	168	12	2023.8333
113	downstream application	1.1156	-0.4095	2	97	140	11	2024.0909
114	downstream task	0.8749	-0.1586	2	142	265	21	2023.8095
115	drug	-0.4569	-0.3355	1	99	149	10	2023.9
116	dynamic	-0.2747	-0.3161	1	251	656	49	2024.6531
117	e commerce	-0.9885	-0.3012	1	207	601	47	2024.2979
118	edge	0.9159	-0.3107	2	150	309	24	2023.7083
119	education	-0.716	-0.2062	1	196	421	29	2024.3793
120	effect	-0.7176	-0.1566	1	352	1714	140	2024.1929
121	embedding	1.0191	-0.2167	2	311	1612	121	2023.8512
122	emergence	-0.3658	-0.2537	1	178	303	22	2024.2727
123	emotion analysis	-0.6766	0.3407	1	103	150	11	2024.1818
124	emotion recognition	0.0915	0.3406	3	229	716	64	2023.75
125	emotional state	-0.1189	0.2751	3	129	214	16	2023.5625
126	encoder	0.9592	-0.0211	2	223	610	46	2024.1957
127	engagement	-1.2871	-0.1247	1	212	921	63	2024.2857
128	english	-0.03	0.373	1	214	445	36	2023.6389
129	entertainment	-1.0406	-0.1761	1	146	330	23	2024.1739
130	entity	0.8781	-0.3762	2	359	2771	225	2023.9689
131	entity pair	1.4203	-0.2266	2	71	128	11	2023.5455
132	entity recognition	0.4892	-0.3904	2	193	473	42	2024.0476
133	era	-0.4584	-0.0495	1	237	515	36	2024.2778
134	evidence	-0.7482	-0.406	1	246	702	53	2023.8679
135	experience	-0.921	-0.2497	1	275	1010	81	2023.7407
136	experimental result	0.7351	0.0897	2	374	2569	211	2023.8815
137	expert	-0.2459	-0.1396	1	174	289	20	2023.6
138	exposure	-1.0522	-0.1084	1	111	186	14	2024.5714
139	extension	-0.1158	-0.3557	1	128	195	15	2023.8
140	extensive experiment	0.9737	0.0293	2	306	1636	129	2023.9845
141	extensive experimental result	1.1854	-0.0784	2	89	149	12	2023.75
142	external knowledge	0.9642	0.1283	2	135	253	18	2023.8889
143	face	-0.5396	0.1028	1	144	210	17	2024
144	facebook	-0.7385	0.4668	1	148	278	20	2023.8
145	facial expression	-0.1933	0.305	3	126	210	20	2023.85
146	fact	0.914	-0.3813	2	264	859	62	2023.871
147	factor	-0.7625	-0.1288	1	330	1384	105	2024.0095
148	fake news	-0.1092	0.2627	1	100	153	13	2024.2308
149	fb15k	1.3645	-0.362	2	82	179	13	2024.0769
150	fear	-0.5572	0.4428	1	126	192	11	2024.0909
151	feature extraction	0.2465	0.4189	3	174	362	28	2024.0357
152	firm	-1.0999	-0.4264	1	96	163	13	2023.7692
153	foundation	-0.1579	-0.4548	1	210	410	33	2024.5758
154	frequency	-0.5651	0.3772	1	185	361	27	2023.8889
155	further research	-0.6078	-0.0359	1	143	228	16	2024
156	future	-0.1655	-0.2404	3	115	163	16	2024.0625
157	future direction	-0.0139	-0.0548	3	191	426	35	2023.9429
158	future research	-0.5795	-0.1018	1	244	584	47	2024.2553
159	future research direction	0.0817	-0.0247	3	187	369	31	2024
160	future work	-0.0333	-0.2319	3	111	155	13	2023.6154
161	gcn	1.2622	0.1904	2	186	610	37	2023.7838
162	gcns	1.4208	0.0544	2	85	165	10	2023.3
163	gender	-0.8611	0.4019	1	132	213	15	2023.6667
164	generative ai	-0.5013	-0.4864	1	96	143	13	2024.4615
165	generative model	0.3959	-0.0081	3	91	120	11	2024.1818
166	githubcom	0.7702	0.1983	2	150	288	21	2024.1429
167	gnn	1.0302	0.0135	2	138	308	23	2023.6522
168	gnns	0.9784	-0.1463	2	111	194	14	2023.8571
169	government	-0.8763	0.0204	1	135	216	14	2024.0714
170	graph	0.8992	-0.1512	2	314	1529	119	2023.7143
171	graph convolutional network	1.1714	0.2455	2	210	795	54	2023.7222
172	graph neural network	1.0853	-0.0244	2	212	694	51	2023.7255
173	graph structure	1.1429	-0.2694	2	151	329	24	2024.375
174	group	-0.5321	0.2759	1	306	883	65	2023.8615
175	hate	-0.5984	0.548	1	131	259	17	2023.5294
176	hate speech	-0.4175	0.5504	1	238	959	76	2023.4868
177	hate speech detection	-0.3702	0.566	1	187	594	46	2023.1087
178	health	-0.9109	0.0779	1	175	367	27	2023.963
179	healthcare	0.0452	-0.1782	3	115	169	16	2024.3125
180	help	-0.7177	0.0505	1	128	194	13	2023.5385
181	hits1	1.4198	-0.3981	2	88	180	11	2024.4545
182	http	0.6605	0.0105	2	278	867	64	2024.4219
183	human emotion	0.0643	0.2738	3	106	158	13	2024.2308
184	humancomputer interaction	-0.0312	0.2956	3	131	227	18	2023.3333
185	i e	-0.1565	-0.1946	1	242	428	32	2023.6875
186	iemocap	0.4796	0.5114	3	110	218	17	2024.2941
187	impact	-0.6647	-0.1312	1	380	2163	164	2024.0732
188	implication	-0.9608	-0.2268	1	244	730	52	2024
189	individual	-0.7967	0.2966	1	276	944	65	2023.9385
190	industry	-0.2614	-0.2347	1	256	634	57	2023.7193
191	influence	-0.7035	-0.2548	1	329	1351	95	2024.2632
192	influencer	-1.3367	-0.2718	1	148	473	34	2024.5294
193	information extraction	0.6045	-0.2321	2	193	420	38	2024.0789
194	information retrieval	0.5561	-0.5389	2	96	140	12	2023.6667
195	insight	-0.5467	-0.1574	1	390	2086	161	2024.4037
196	instagram	-1.1316	0.1638	1	136	250	17	2024.2353
197	intention	-0.9824	-0.1257	1	193	513	37	2024.027
198	interactivity	-1.2947	-0.3135	1	99	221	15	2023.8667
199	internet	-0.429	0.317	1	183	332	26	2023.3462
200	interpretability	0.4358	-0.127	2	231	495	40	2024.75
201	intervention	-0.5914	0.0765	1	193	380	29	2024.4138
202	investigation	-0.3377	-0.0608	1	280	670	48	2023.7292
203	item	0.427	-0.2498	2	213	540	43	2023.4186
204	key component	0.4016	0.27	3	103	145	12	2025.0833
205	kgc	1.2874	-0.3804	2	153	541	37	2024.027
206	kgqa	1.1005	-0.6523	2	98	256	18	2023.4444
207	kgs	0.8326	-0.563	2	243	1095	84	2024.3214
208	knowledge base	0.5436	-0.4184	2	209	515	50	2023.74
209	knowledge extraction	0.4483	-0.6224	2	96	158	15	2023.6
210	knowledge graph	0.6439	-0.5029	2	349	3375	328	2024.0305
211	knowledge graph completion	1.3034	-0.3511	2	187	880	62	2024.0645
212	knowledge graph construction	0.3215	-0.7233	2	110	230	23	2024.1739
213	knowledge graphs	0.6261	-0.5774	2	139	270	23	2024.087
214	knowledge representation	0.5451	-0.5188	2	144	266	24	2024.3333
215	laptop	1.0604	0.5566	2	87	169	11	2023.5455
216	large language models	-0.0062	-0.4987	4	85	129	17	2024.7647
217	layer	0.7657	0.2886	2	269	905	73	2023.8493
218	lexicon	0.4397	0.4482	2	148	285	20	2022.9
219	light	-0.4381	0.004	3	193	341	25	2024
220	link prediction	1.0558	-0.4293	2	132	331	30	2023.7
221	link prediction task	1.1702	-0.3736	2	98	213	14	2024.2143
222	literature	-0.4439	-0.2126	1	337	1218	98	2024.0204
223	live	-1.2343	-0.4475	1	92	198	15	2023.7333
224	llm	0.3112	-0.3817	2	319	1193	107	2024.9159
225	llms	0.4865	-0.5279	2	187	464	39	2024.9231
226	long short term memory	0.1052	0.5043	3	169	315	24	2023.75
227	lot	0.4937	-0.2789	2	130	206	16	2022.6875
228	low resource language	-0.1205	0.4391	1	140	224	18	2024.0556
229	machine	-0.303	0.2063	1	277	722	60	2023.6333
230	machine learning	-0.2812	0.2377	3	288	817	68	2023.5882
231	machine learning model	-0.5028	0.4457	1	143	247	20	2023.55
232	maintenance	0.3532	-0.6069	2	78	133	14	2024.4286
233	major challenge	0.7115	-0.0579	2	125	172	13	2024.5385
234	majority	-0.7747	0.0917	1	182	301	21	2023.5238
235	manufacturer	-1.0378	-0.3403	1	113	245	21	2024.3333
236	market	-0.941	-0.2017	1	147	292	25	2024.32
237	marketing	-1.1026	-0.1968	1	182	468	32	2024.2812
238	medium	-0.7219	0.1003	1	189	377	28	2023.9286
239	mental health	-0.8883	0.3199	1	109	182	12	2023.5833
240	message	-0.453	0.3682	1	183	308	21	2023.0952
241	misinformation	-0.594	0.0492	1	173	324	28	2024.4643
242	mlp	0.2264	0.4629	3	95	133	10	2024.1
243	modality	0.4082	0.2006	3	327	1382	110	2024.2364
244	model performance	0.5108	0.1176	2	169	275	22	2024.1364
245	module	0.8118	-0.0208	2	342	1711	136	2024.1103
246	month	-0.7042	-0.2959	1	109	145	10	2023.8
247	motivation	-0.815	-0.1091	1	164	309	21	2023.619
248	mrr	1.3106	-0.4159	2	120	303	19	2024.5263
249	msa	0.7085	0.4753	3	94	183	15	2024.0667
250	multi	0.6388	-0.1264	2	145	259	20	2023.8
251	multi task	0.6493	0.4003	2	116	181	15	2023.7333
252	multimodal data	0.315	0.2675	3	152	295	24	2024.5833
253	multimodal fusion	0.3537	0.3959	3	101	159	15	2024.4
254	multimodal information	0.3648	0.2066	3	123	199	16	2024.3125
255	multimodal sentiment analysis	0.6617	0.4321	3	136	347	32	2023.9375
256	multiple modality	0.3451	0.2305	3	107	158	13	2023.5385
257	nan	-1.1737	-0.2377	1	28	65	41	2024.0244
258	natural language question	1.0587	-0.6246	2	75	158	12	2022.6667
259	need	-0.3084	-0.1259	1	349	1246	99	2024.1515
260	negative sentiment	-0.7964	0.2068	1	106	157	10	2024
261	ner	0.6524	-0.404	2	78	118	10	2023.9
262	news	-0.2705	0.1851	1	179	305	23	2024.5217
263	node	0.8104	-0.1694	2	227	673	53	2023.7547
264	noise	0.6908	0.2062	2	236	619	47	2024.0213
265	obstacle	-0.0993	-0.4299	1	113	166	12	2023.75
266	offensive content	-0.1186	0.4684	1	95	129	10	2023.6
267	online review	0.1946	0.1098	2	89	127	10	2023.6
268	ontology	0.1563	-0.4346	2	145	293	32	2023.625
269	opinion mining	-0.348	0.2453	1	120	202	16	2023.75
270	opportunity	-0.5741	-0.2645	1	237	605	48	2024.1458
271	organization	-0.4606	-0.4195	1	153	260	22	2023.6818
272	outcome	-0.6384	0.0064	1	254	595	43	2023.7442
273	overview	0.026	-0.099	3	154	273	24	2024.0833
274	pair	1.1633	0.1425	2	177	520	40	2023.675
275	pandemic	-0.91	0.3683	1	146	264	23	2023.087
276	participant	-0.9594	0.0554	1	152	287	23	2024.0435
277	path	0.8263	-0.3418	2	220	540	40	2024.2
278	patient	-0.3785	-0.065	1	121	184	16	2023.5
279	perception	-0.9528	-0.073	1	243	688	53	2024.1321
280	person	-0.637	0.3219	1	301	935	69	2023.3623
281	phenomenon	-0.6254	-0.205	1	166	261	20	2023.95
282	phrase	0.9795	-0.055	2	136	226	16	2023
283	platform	-0.7804	0.0051	1	374	2287	182	2023.9451
284	plm	0.9662	-0.2734	2	126	212	15	2024.5333
285	pls sem	-1.2851	-0.3318	1	97	187	12	2024
286	polarity	0.5504	0.53	2	163	330	25	2023.28
287	policy	-0.1112	-0.2834	1	188	357	24	2024.25
288	policymaker	-1.1715	0.0298	1	121	199	12	2024.6667
289	popularity	-0.6803	-0.329	1	239	580	41	2023.9512
290	possibility	-0.2388	-0.396	1	102	142	14	2024.5
291	post	-0.8198	0.291	1	235	666	51	2024.1176
292	powerful tool	-0.5363	-0.0489	1	146	212	15	2024.4
293	practical implication	-1.1504	-0.2759	1	123	265	16	2024.0625
294	practice	-0.6893	-0.301	1	264	672	51	2023.8235
295	practitioner	-0.5736	-0.3416	3	165	349	27	2024.1481
296	preference	0.0237	-0.2774	2	216	514	44	2024.1136
297	presence	-0.8342	-0.2557	1	192	397	29	2024.2759
298	present study	-0.6613	0.1322	1	114	162	13	2024.3846
299	prevalence	-0.6076	0.2709	1	134	213	15	2023.8667
300	previous study	0.5464	0.2988	2	166	281	20	2023.75
301	previous work	0.5859	0.0935	2	153	271	22	2023.5455
302	privacy	-0.3342	-0.1819	1	131	197	17	2024.2353
303	product	-0.8477	-0.2249	1	299	1147	91	2023.9231
304	progress	0.1487	0.0043	3	211	432	35	2024.5429
305	proliferation	-0.0838	0.4386	1	158	289	21	2024.1429
306	promising result	0.776	0.0408	2	118	186	14	2023.5
307	promotion	-1.2568	-0.1463	1	136	279	22	2023.8636
308	prompt	0.7863	-0.3975	2	128	255	22	2024.9545
309	proposed model	0.8147	0.1707	2	114	176	12	2023.3333
310	public	-0.9677	0.0515	1	141	273	19	2023.6842
311	public dataset	0.8364	0.2465	2	202	453	36	2024
312	public sentiment	-0.7369	0.252	1	128	225	15	2023.9333
313	publication	-0.2001	-0.3719	1	115	201	18	2023.9444
314	purchase intention	-1.4487	-0.395	1	99	309	24	2024.0833
315	query	0.7463	-0.556	2	181	468	41	2024.1463
316	question	0.409	-0.5015	2	300	1195	101	2023.8515
317	question answering	0.825	-0.5538	2	224	811	64	2023.6562
318	race	-0.7077	0.7228	1	70	139	10	2024.3
319	random forest	-0.5843	0.4977	1	103	161	11	2023.9091
320	real time	-0.8446	-0.0967	1	107	156	13	2024.3077
321	real world application	0.3699	-0.01	3	120	182	14	2024.5714
322	real world dataset	0.5142	-0.1768	2	166	384	30	2023.7667
323	real world scenario	0.6253	-0.2871	2	117	170	14	2024.5714
324	realm	-0.2626	-0.0574	3	151	227	15	2024.2
325	reasoning	0.8037	-0.517	2	247	956	74	2024.4054
326	recent advancement	0.1136	0.0289	3	144	231	19	2024.4737
327	recent study	0.7821	-0.0386	2	141	233	19	2024
328	recommender system	0.1706	-0.3603	2	144	287	26	2023.6154
329	recurrent neural network	0.5246	0.4254	3	128	218	15	2023.3333
330	regard	-0.0128	0.1657	1	104	125	10	2023.1
331	reinforcement learning	0.596	-0.1692	2	138	225	17	2024.2353
332	relation	1.0692	-0.2736	2	325	2125	168	2023.8095
333	relation extraction	0.8104	-0.2885	2	189	489	43	2023.9535
334	reliability	-0.3004	-0.3097	1	214	433	39	2024.5641
335	reliance	0.6452	0.2327	2	115	170	13	2024.6923
336	religion	-0.6845	0.7165	1	91	177	10	2024
337	representation	0.8094	0.0154	2	395	3382	270	2023.9185
338	research gap	-0.3848	0.2265	1	155	247	17	2024.0588
339	research paper	-0.1104	-0.0908	3	118	167	12	2023.75
340	response	-0.5426	-0.1008	1	308	888	77	2024.4675
341	restaurant	0.94	0.5254	2	86	165	11	2023.6364
342	retailer	-1.3543	-0.3619	1	91	198	15	2024
343	rise	-0.5282	0.0151	1	228	487	39	2024.0769
344	risk	-0.8009	0.0417	1	241	596	46	2024.413
345	role	-0.3138	-0.1513	1	391	1809	138	2024.1304
346	rule	0.5788	-0.1592	2	240	596	51	2023.7647
347	rumor	-0.2244	0.2257	1	94	138	11	2023.7273
348	sale	-1.2652	-0.4035	1	115	251	20	2024.35
349	sarcasm	0.3545	0.4787	3	91	131	11	2023.9091
350	satisfaction	-0.6848	0.0511	1	160	258	22	2024.5455
351	scalability	0.3421	-0.2243	2	138	205	16	2024.6875
352	second stage	1.2871	-0.1413	2	96	144	10	2023.8
353	self attention mechanism	0.8806	0.372	2	132	251	18	2023.9444
354	semantic	1.1913	-0.2262	2	223	755	55	2024.2727
355	semantic feature	1.017	0.1441	2	158	327	21	2024.3333
356	semantic information	1.1727	0.0858	2	211	656	47	2024.1489
357	semantic relationship	0.8196	0.2262	2	139	256	17	2024.2353
358	semantic similarity	0.3712	-0.3486	2	90	123	11	2023.6364
359	semeval	1.2391	0.5022	2	90	202	16	2023.9375
360	sense	-0.5856	-0.3765	1	168	303	21	2023.8095
361	sentence	0.916	0.3607	2	303	1580	112	2023.5625
362	sentiment analysis	0.4745	0.4047	2	386	3081	243	2023.7078
363	sentiment analysis task	1.1239	0.5193	2	114	270	20	2023.2
364	sentiment classification	0.7989	0.529	2	210	603	44	2023.9545
365	sentiment information	0.9282	0.4836	2	142	320	22	2023.9091
366	sentiment polarity	1.1285	0.461	2	225	1088	73	2023.5616
367	sequence	0.6806	0.001	2	249	671	55	2024.0182
368	ser	0.1196	0.574	3	125	277	24	2023.4583
369	significant attention	0.9039	0.2259	3	114	165	13	2024.4615
370	significant improvement	0.5168	0.1963	2	234	492	39	2024.2308
371	similarity	0.7339	-0.2187	2	171	330	28	2023.5357
372	situation	-0.5025	0.1934	1	191	321	28	2023.5714
373	social interaction	-1.1045	-0.0586	1	128	232	16	2024
374	social media	-0.7164	0.2364	1	371	2586	197	2024.0254
375	social media data	-0.8854	0.2006	1	158	314	23	2024.5217
376	social media user	-1.0854	0.1204	1	138	222	14	2023.9286
377	society	-0.3759	0.3516	1	199	405	27	2023.6667
378	sota	0.6463	0.1773	2	120	184	14	2023.9286
379	source code	0.435	0.2927	2	128	190	14	2024.1429
380	speaker	0.0436	0.5214	3	128	224	18	2023.5556
381	specific aspect	1.1674	0.4649	2	134	353	24	2023.5833
382	speech	-0.1008	0.4756	3	308	1195	97	2023.7423
383	speech emotion recognition	0.1786	0.5157	3	149	393	34	2023.5294
384	speech recognition	-0.1511	0.2472	3	116	178	14	2022.7143
385	speech signal	0.1302	0.5182	3	91	143	11	2024.0909
386	spread	-0.6135	0.3181	1	190	435	33	2024.0606
387	stimulus organism response	-1.3394	-0.3248	1	88	165	11	2024.4545
388	streamer	-1.2634	-0.4132	1	155	570	46	2024.1957
389	structural information	1.352	-0.2083	2	125	335	23	2024
390	structure	0.734	-0.055	2	344	1443	111	2023.8649
391	student	-0.8049	0.0631	1	144	262	23	2024.0435
392	study	-0.3362	-0.0862	1	445	6620	566	2024.0406
393	subgraph	1.0806	-0.508	2	109	212	16	2024.25
394	subtask	1.1609	0.2465	2	144	346	26	2023.8077
395	suggestion	-0.6636	-0.339	1	154	255	19	2023.7895
396	superiority	0.9555	-0.0854	2	216	551	46	2024.1522
397	support	-0.2438	-0.2826	1	295	827	61	2024.1311
398	support vector machine	-0.2464	0.5864	1	122	218	16	2023.0625
399	survey	-0.2947	-0.0764	3	326	1240	104	2023.9038
400	svm	-0.3064	0.6017	1	99	151	11	2022.8182
401	syntactic	1.1963	0.316	2	93	187	13	2024.2308
402	syntactic information	1.3686	0.4197	2	121	349	19	2023.6316
403	systematic literature review	-0.4552	-0.126	3	86	135	13	2023.8462
404	systematic review	-0.1434	0.0248	3	163	302	26	2024.1154
405	temporal knowledge graph	1.1547	-0.5893	2	118	336	23	2024.5652
406	text mining	-0.431	-0.272	1	122	191	18	2024.2778
407	textual information	0.6182	0.0808	2	124	194	14	2023.8571
408	tf idf	-0.4946	0.6568	1	84	130	10	2023.4
409	theme	-1.0793	0.1771	1	152	331	22	2024.1364
410	theory	-1.018	-0.3057	1	278	1191	95	2024.2105
411	thought	-0.5054	0.351	1	134	194	12	2023.9167
412	tiktok	-1.1844	-0.0749	1	263	1451	174	2023.9713
413	tiktok video	-1.2158	0.0872	1	112	292	23	2023.9565
414	timestamp	0.9754	-0.5953	2	84	150	11	2024.4545
415	tkg	1.0887	-0.588	2	83	167	10	2024.4
416	tkgs	1.1572	-0.5773	2	90	183	11	2024.7273
417	topic	-0.3709	-0.0219	1	373	1409	104	2023.7692
418	topic modeling	-0.6934	0.3728	1	97	146	16	2023.5
419	total	-0.9887	-0.0871	1	178	339	21	2024.1429
420	transfer learning	0.0371	0.479	3	129	195	14	2023.2857
421	transparency	-0.4012	-0.3451	1	151	258	18	2024.7222
422	trend	-0.4893	-0.1532	1	317	1125	92	2024.0978
423	triple	0.9837	-0.431	2	227	846	67	2023.8806
424	triplet	1.113	-0.3622	2	127	229	19	2023.9474
425	trust	-0.9637	-0.4012	1	165	392	28	2024.6071
426	tweet	-0.6174	0.4995	1	197	486	37	2023.4054
427	twitter	-0.3036	0.4492	1	262	716	52	2023.6346
428	uncertainty	-0.1714	-0.2748	1	125	163	13	2024.5385
429	unstructured text	0.8869	-0.2644	2	90	159	16	2023.75
430	usage	-0.4868	0.1271	1	200	362	27	2023.9259
431	use	-0.3869	-0.0124	1	379	1672	134	2023.806
432	usefulness	-0.8742	-0.0437	1	107	152	11	2024
433	user experience	-0.4885	0.0121	1	156	257	19	2024.4211
434	user preference	0.4458	-0.1915	2	127	252	20	2024.45
435	valuable insight	-0.3626	-0.2333	3	214	429	33	2024.5758
436	vector	0.9637	-0.0574	2	209	552	44	2023.6818
437	video	-0.5185	0.0913	1	349	1420	123	2023.9187
438	video content	-0.4046	-0.1538	1	113	158	13	2023.8462
439	videos	-1.1975	-0.0109	1	95	196	29	2023.8621
440	viewer	-1.2654	-0.2706	1	147	385	29	2024.2759
441	violence	-0.4986	0.6136	1	91	151	11	2024
442	visual feature	0.476	0.2245	2	122	189	14	2024.0714
443	visualization	-0.1489	-0.0823	1	126	184	17	2024.1176
444	voice	-0.3289	0.3604	3	172	303	28	2023.7143
445	weakness	0.0761	-0.0563	3	139	197	15	2023.8
446	web	-0.4354	-0.0382	1	194	338	29	2023.6897
447	weibo	-0.686	0.2465	1	148	249	15	2024.4
448	weight	0.4946	0.1046	2	244	597	45	2023.8444
449	word	0.4829	0.4572	2	361	1635	117	2023.4786
450	word embedding	0.2945	0.4403	3	148	260	22	2023.7727
